# time  R_moment(t)
0.00000000e+00 2.01399352e+00
5.00000000e-03 2.01767390e+00
1.50000000e-02 2.02455569e+00
2.50000000e-02 2.03150703e+00
3.50000000e-02 2.03852631e+00
4.50000000e-02 2.04560730e+00
5.50000000e-02 2.05336348e+00
6.50000000e-02 2.06049661e+00
7.50000000e-02 2.06767821e+00
8.50000000e-02 2.07490214e+00
9.50000000e-02 2.08216288e+00
1.05000000e-01 2.08945525e+00
1.15000000e-01 2.09677445e+00
1.25000000e-01 2.10411600e+00
1.35000000e-01 2.11147575e+00
1.45000000e-01 2.11884985e+00
1.55000000e-01 2.12623476e+00
1.65000000e-01 2.13362719e+00
1.75000000e-01 2.14102409e+00
1.85000000e-01 2.14842260e+00
1.95000000e-01 2.15582004e+00
2.05000000e-01 2.16336519e+00
2.15000000e-01 2.17074851e+00
2.25000000e-01 2.17812655e+00
2.35000000e-01 2.18549716e+00
2.45000000e-01 2.19285818e+00
2.55000000e-01 2.20020742e+00
2.65000000e-01 2.20787981e+00
2.75000000e-01 2.21520188e+00
2.85000000e-01 2.22251531e+00
2.95000000e-01 2.22981816e+00
3.05000000e-01 2.23710866e+00
3.15000000e-01 2.24454442e+00
3.25000000e-01 2.25181206e+00
3.35000000e-01 2.25906725e+00
3.45000000e-01 2.26630756e+00
3.55000000e-01 2.27387716e+00
3.65000000e-01 2.28109991e+00
3.75000000e-01 2.28841668e+00
3.85000000e-01 2.29561992e+00
3.95000000e-01 2.30319627e+00
4.05000000e-01 2.31039943e+00
4.15000000e-01 2.31760399e+00
4.25000000e-01 2.32527648e+00
4.35000000e-01 2.33250246e+00
4.45000000e-01 2.33999339e+00
4.55000000e-01 2.34753786e+00
4.65000000e-01 2.35485906e+00
4.75000000e-01 2.36242336e+00
4.85000000e-01 2.36981945e+00
4.95000000e-01 2.37772951e+00
5.05000000e-01 2.38544644e+00
5.15000000e-01 2.39299543e+00
5.25000000e-01 2.40087360e+00
5.35000000e-01 2.40874649e+00
5.45000000e-01 2.41656746e+00
5.55000000e-01 2.42472341e+00
5.65000000e-01 2.43281340e+00
5.75000000e-01 2.44100497e+00
5.85000000e-01 2.44922829e+00
5.95000000e-01 2.45740113e+00
6.05000000e-01 2.46593315e+00
6.15000000e-01 2.47439084e+00
6.25000000e-01 2.48280783e+00
6.35000000e-01 2.49162308e+00
6.45000000e-01 2.50022183e+00
6.55000000e-01 2.50939912e+00
6.65000000e-01 2.51806280e+00
6.75000000e-01 2.52695827e+00
6.85000000e-01 2.53625869e+00
6.95000000e-01 2.54535945e+00
7.05000000e-01 2.55507921e+00
7.15000000e-01 2.56437248e+00
7.25000000e-01 2.57393199e+00
7.35000000e-01 2.58367786e+00
7.45000000e-01 2.59349916e+00
7.55000000e-01 2.60376789e+00
7.65000000e-01 2.61384047e+00
7.75000000e-01 2.62417151e+00
7.85000000e-01 2.63459405e+00
7.95000000e-01 2.64549332e+00
8.05000000e-01 2.65624672e+00
8.15000000e-01 2.66730398e+00
8.25000000e-01 2.67863078e+00
8.35000000e-01 2.69048907e+00
8.45000000e-01 2.70194426e+00
8.55000000e-01 2.71416062e+00
8.65000000e-01 2.72620600e+00
8.75000000e-01 2.73926934e+00
8.85000000e-01 2.75226051e+00
8.95000000e-01 2.76557595e+00
9.05000000e-01 2.77931757e+00
9.15000000e-01 2.79418997e+00
9.25000000e-01 2.80913312e+00
9.35000000e-01 2.82470143e+00
9.45000000e-01 2.84194499e+00
9.55000000e-01 2.85935078e+00
9.65000000e-01 2.87956810e+00
9.75000000e-01 2.90074319e+00
9.85000000e-01 2.92753294e+00
9.95000000e-01 2.95723536e+00
