# time  X(t)
0.00000000e+00 3.23571581e-17
5.00000000e-03 1.25021541e-03
1.50000000e-02 3.73686465e-03
2.50000000e-02 6.18365996e-03
3.50000000e-02 8.59353101e-03
4.50000000e-02 1.09687927e-02
5.50000000e-02 1.33090079e-02
6.50000000e-02 1.56504947e-02
7.50000000e-02 1.79619308e-02
8.50000000e-02 2.02443258e-02
9.50000000e-02 2.24986531e-02
1.05000000e-01 2.47257682e-02
1.15000000e-01 2.69264368e-02
1.25000000e-01 2.91013564e-02
1.35000000e-01 3.12511744e-02
1.45000000e-01 3.33765022e-02
1.55000000e-01 3.54779272e-02
1.65000000e-01 3.75560236e-02
1.75000000e-01 3.96113610e-02
1.85000000e-01 4.16445141e-02
1.95000000e-01 4.36560706e-02
2.05000000e-01 4.56095299e-02
2.15000000e-01 4.75853238e-02
2.25000000e-01 4.95408407e-02
2.35000000e-01 5.14766918e-02
2.45000000e-01 5.33935361e-02
2.55000000e-01 5.52920796e-02
2.65000000e-01 5.70849379e-02
2.75000000e-01 5.89568416e-02
2.85000000e-01 6.08109756e-02
2.95000000e-01 6.26479576e-02
3.05000000e-01 6.44685237e-02
3.15000000e-01 6.62336918e-02
3.25000000e-01 6.80263137e-02
3.35000000e-01 6.98038282e-02
3.45000000e-01 7.15669545e-02
3.55000000e-01 7.32287276e-02
3.65000000e-01 7.49670421e-02
3.75000000e-01 7.67306164e-02
3.85000000e-01 7.84476952e-02
3.95000000e-01 8.01831601e-02
4.05000000e-01 8.18967076e-02
4.15000000e-01 8.35967800e-02
4.25000000e-01 8.52323789e-02
4.35000000e-01 8.69201214e-02
4.45000000e-01 8.86957700e-02
4.55000000e-01 9.03812160e-02
4.65000000e-01 9.20791249e-02
4.75000000e-01 9.38565312e-02
4.85000000e-01 9.55644362e-02
4.95000000e-01 9.72115360e-02
5.05000000e-01 9.90004236e-02
5.15000000e-01 1.00728461e-01
5.25000000e-01 1.02449475e-01
5.35000000e-01 1.04271541e-01
5.45000000e-01 1.06061517e-01
5.55000000e-01 1.07722868e-01
5.65000000e-01 1.09583725e-01
5.75000000e-01 1.11366091e-01
5.85000000e-01 1.13242962e-01
5.95000000e-01 1.15101178e-01
6.05000000e-01 1.16834890e-01
6.15000000e-01 1.18770706e-01
6.25000000e-01 1.20675904e-01
6.35000000e-01 1.22592019e-01
6.45000000e-01 1.24536506e-01
6.55000000e-01 1.26440328e-01
6.65000000e-01 1.28398852e-01
6.75000000e-01 1.30400424e-01
6.85000000e-01 1.32436928e-01
6.95000000e-01 1.34491526e-01
7.05000000e-01 1.36524070e-01
7.15000000e-01 1.38638001e-01
7.25000000e-01 1.40829653e-01
7.35000000e-01 1.42958867e-01
7.45000000e-01 1.45217069e-01
7.55000000e-01 1.47356463e-01
7.65000000e-01 1.49689664e-01
7.75000000e-01 1.51967641e-01
7.85000000e-01 1.54386767e-01
7.95000000e-01 1.56697919e-01
8.05000000e-01 1.59216394e-01
8.15000000e-01 1.61683163e-01
8.25000000e-01 1.64352524e-01
8.35000000e-01 1.66941454e-01
8.45000000e-01 1.69668372e-01
8.55000000e-01 1.72463296e-01
8.65000000e-01 1.75347477e-01
8.75000000e-01 1.78264780e-01
8.85000000e-01 1.81433917e-01
8.95000000e-01 1.84604341e-01
9.05000000e-01 1.88019153e-01
9.15000000e-01 1.91495037e-01
9.25000000e-01 1.95164684e-01
9.35000000e-01 1.99175054e-01
9.45000000e-01 2.03369654e-01
9.55000000e-01 2.07940848e-01
9.65000000e-01 2.13024020e-01
9.75000000e-01 2.18892651e-01
9.85000000e-01 2.25904316e-01
9.95000000e-01 2.32985226e-01
