# time  G0_ode  DG_ode  PDE_offset  PDE_gradient
0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
5.00000000e-03 -7.94610599e+00 1.91998044e+01 -7.94610599e+00 9.61592875e+00
1.50000000e-02 -8.03890460e+00 1.93953998e+01 -8.06309629e+00 9.68156398e+00
2.50000000e-02 -8.17223633e+00 1.94042091e+01 -8.22032753e+00 9.68596128e+00
3.50000000e-02 -8.30700405e+00 1.94159819e+01 -8.37865633e+00 9.69183790e+00
4.50000000e-02 -8.44333040e+00 1.94306186e+01 -8.53824002e+00 9.69914404e+00
5.50000000e-02 -8.58133025e+00 1.94480538e+01 -8.69922281e+00 9.70784716e+00
6.50000000e-02 -8.63560298e+00 1.98508359e+01 -8.77817013e+00 9.84338970e+00
7.50000000e-02 -8.77771713e+00 1.98716844e+01 -8.94335740e+00 9.85372782e+00
8.50000000e-02 -8.92180157e+00 1.98952951e+01 -9.11029743e+00 9.86543556e+00
9.50000000e-02 -9.06796219e+00 1.99216784e+01 -9.27911495e+00 9.87851822e+00
1.05000000e-01 -9.21630567e+00 1.99508566e+01 -9.44993412e+00 9.89298676e+00
1.15000000e-01 -9.36694026e+00 1.99828613e+01 -9.62287973e+00 9.90885686e+00
1.25000000e-01 -9.51997661e+00 2.00177321e+01 -9.79807823e+00 9.92614814e+00
1.35000000e-01 -9.67552835e+00 2.00555150e+01 -9.97565861e+00 9.94488347e+00
1.45000000e-01 -9.83371277e+00 2.00962619e+01 -1.01557532e+01 9.96508857e+00
1.55000000e-01 -9.99465129e+00 2.01400295e+01 -1.03384982e+01 9.98679150e+00
1.65000000e-01 -1.01584700e+01 2.01868784e+01 -1.05240346e+01 1.00100224e+01
1.75000000e-01 -1.03253004e+01 2.02368728e+01 -1.07125087e+01 1.00348130e+01
1.85000000e-01 -1.04952794e+01 2.02900796e+01 -1.09040726e+01 1.00611965e+01
1.95000000e-01 -1.06685507e+01 2.03465679e+01 -1.10988851e+01 1.00892072e+01
2.05000000e-01 -1.08199942e+01 2.05096311e+01 -1.12729715e+01 1.01532827e+01
2.15000000e-01 -1.10002853e+01 2.05726721e+01 -1.14748826e+01 1.01844911e+01
2.25000000e-01 -1.11843249e+01 2.06392639e+01 -1.16805416e+01 1.02174574e+01
2.35000000e-01 -1.13722845e+01 2.07094922e+01 -1.18901365e+01 1.02522239e+01
2.45000000e-01 -1.15643460e+01 2.07834403e+01 -1.21038661e+01 1.02888318e+01
2.55000000e-01 -1.17607009e+01 2.08611904e+01 -1.23219398e+01 1.03273220e+01
2.65000000e-01 -1.19615517e+01 2.09428243e+01 -1.25445783e+01 1.03677348e+01
2.75000000e-01 -1.21116329e+01 2.12421718e+01 -1.27197928e+01 1.04813348e+01
2.85000000e-01 -1.23218417e+01 2.13320589e+01 -1.29521840e+01 1.05256869e+01
2.95000000e-01 -1.25371621e+01 2.14263175e+01 -1.31898003e+01 1.05721961e+01
3.05000000e-01 -1.27578407e+01 2.15250603e+01 -1.34329088e+01 1.06209179e+01
3.15000000e-01 -1.29541723e+01 2.17379047e+01 -1.36537633e+01 1.07083274e+01
3.25000000e-01 -1.31861610e+01 2.18461863e+01 -1.39086127e+01 1.07616681e+01
3.35000000e-01 -1.34243052e+01 2.19594356e+01 -1.41698108e+01 1.08174560e+01
3.45000000e-01 -1.36689126e+01 2.20777924e+01 -1.44376890e+01 1.08757598e+01
3.55000000e-01 -1.38550488e+01 2.24275690e+01 -1.46517971e+01 1.10118997e+01
3.65000000e-01 -1.41129739e+01 2.25575598e+01 -1.49336850e+01 1.10757250e+01
3.75000000e-01 -1.43454180e+01 2.27983715e+01 -1.51932754e+01 1.11756723e+01
3.85000000e-01 -1.46183562e+01 2.29400716e+01 -1.54908789e+01 1.12451332e+01
3.95000000e-01 -1.48628579e+01 2.32053587e+01 -1.57629431e+01 1.13566193e+01
4.05000000e-01 -1.50792791e+01 2.35737455e+01 -1.60112061e+01 1.14993880e+01
4.15000000e-01 -1.53772680e+01 2.37344767e+01 -1.63353144e+01 1.15777935e+01
4.25000000e-01 -1.56455612e+01 2.40118260e+01 -1.66334625e+01 1.16940711e+01
4.35000000e-01 -1.58758477e+01 2.44319446e+01 -1.68967572e+01 1.18601673e+01
4.45000000e-01 -1.61142323e+01 2.48389637e+01 -1.71700193e+01 1.20188534e+01
4.55000000e-01 -1.64514914e+01 2.50288754e+01 -1.75359361e+01 1.21107462e+01
4.65000000e-01 -1.67025245e+01 2.54678146e+01 -1.78231758e+01 1.22835119e+01
4.75000000e-01 -1.69603293e+01 2.59068240e+01 -1.81186507e+01 1.24552039e+01
4.85000000e-01 -1.73328520e+01 2.61203368e+01 -1.85222337e+01 1.25578542e+01
4.95000000e-01 -1.75459108e+01 2.67289742e+01 -1.87781925e+01 1.27889829e+01
5.05000000e-01 -1.79443764e+01 2.69639811e+01 -1.92095235e+01 1.29014263e+01
5.15000000e-01 -1.82359077e+01 2.74476057e+01 -1.95432636e+01 1.30910679e+01
5.25000000e-01 -1.85314514e+01 2.79629220e+01 -1.98819532e+01 1.32945747e+01
5.35000000e-01 -1.88364015e+01 2.84780150e+01 -2.02318426e+01 1.34966896e+01
5.45000000e-01 -1.92977682e+01 2.87516594e+01 -2.07305801e+01 1.36263789e+01
5.55000000e-01 -1.95441514e+01 2.94581268e+01 -2.10287900e+01 1.38953428e+01
5.65000000e-01 -1.98777820e+01 3.00200881e+01 -2.14120312e+01 1.41160289e+01
5.75000000e-01 -2.03088181e+01 3.04664257e+01 -2.18894990e+01 1.43034863e+01
5.85000000e-01 -2.07560917e+01 3.09461081e+01 -2.23845665e+01 1.45059882e+01
5.95000000e-01 -2.11306052e+01 3.15581451e+01 -2.28140473e+01 1.47467968e+01
6.05000000e-01 -2.16182867e+01 3.20539890e+01 -2.33533994e+01 1.49552048e+01
6.15000000e-01 -2.17989975e+01 3.30335722e+01 -2.36039001e+01 1.53169577e+01
6.25000000e-01 -2.23207814e+01 3.35724178e+01 -2.41818181e+01 1.55427860e+01
6.35000000e-01 -2.28657024e+01 3.41550143e+01 -2.47849779e+01 1.57881422e+01
6.45000000e-01 -2.33149291e+01 3.48818778e+01 -2.53008939e+01 1.60745981e+01
6.55000000e-01 -2.39161394e+01 3.54896240e+01 -2.59654702e+01 1.63295816e+01
6.65000000e-01 -2.41128386e+01 3.66297876e+01 -2.62473279e+01 1.67514273e+01
6.75000000e-01 -2.47634226e+01 3.72971207e+01 -2.69674866e+01 1.70306487e+01
6.85000000e-01 -2.51208922e+01 3.83380400e+01 -2.74112645e+01 1.74263818e+01
6.95000000e-01 -2.58360797e+01 3.90705461e+01 -2.82029828e+01 1.77324717e+01
7.05000000e-01 -2.64117613e+01 4.00021993e+01 -2.88660057e+01 1.81005427e+01
