# time  cumulative_dissipation
0.00000000e+00 0.00000000e+00
5.00000000e-03 2.60950825e-02
1.50000000e-02 7.82767079e-02
2.50000000e-02 1.30004112e-01
3.50000000e-02 1.81372948e-01
4.50000000e-02 2.32368630e-01
5.50000000e-02 2.82922234e-01
6.50000000e-02 3.34616988e-01
7.50000000e-02 3.85672059e-01
8.50000000e-02 4.35966717e-01
9.50000000e-02 4.85394958e-01
1.05000000e-01 5.33872506e-01
1.15000000e-01 5.81339677e-01
1.25000000e-01 6.27761080e-01
1.35000000e-01 6.73123206e-01
1.45000000e-01 7.17430876e-01
1.55000000e-01 7.60703300e-01
1.65000000e-01 8.02970265e-01
1.75000000e-01 8.44268738e-01
1.85000000e-01 8.84640028e-01
1.95000000e-01 9.24287311e-01
2.05000000e-01 9.63245794e-01
2.15000000e-01 1.00139399e+00
2.25000000e-01 1.03877352e+00
2.35000000e-01 1.07542423e+00
2.45000000e-01 1.11138346e+00
2.55000000e-01 1.14668588e+00
2.65000000e-01 1.18136366e+00
2.75000000e-01 1.21576136e+00
2.85000000e-01 1.24991136e+00
2.95000000e-01 1.28351482e+00
3.05000000e-01 1.31658913e+00
3.15000000e-01 1.34915204e+00
3.25000000e-01 1.38122063e+00
3.35000000e-01 1.41297518e+00
3.45000000e-01 1.44427702e+00
3.55000000e-01 1.47513529e+00
3.65000000e-01 1.50571373e+00
3.75000000e-01 1.53604616e+00
3.85000000e-01 1.56622269e+00
3.95000000e-01 1.59633772e+00
4.05000000e-01 1.62601720e+00
4.15000000e-01 1.65587625e+00
4.25000000e-01 1.68614384e+00
4.35000000e-01 1.71703921e+00
4.45000000e-01 1.74870482e+00
4.55000000e-01 1.78107732e+00
4.65000000e-01 1.81498413e+00
4.75000000e-01 1.85144297e+00
4.85000000e-01 1.89365791e+00
4.95000000e-01 1.94759332e+00
5.05000000e-01 2.02448514e+00
5.15000000e-01 2.14107151e+00
5.25000000e-01 2.32164612e+00
5.35000000e-01 2.60159639e+00
5.45000000e-01 3.03005358e+00
5.55000000e-01 3.66338296e+00
5.65000000e-01 4.56998920e+00
5.75000000e-01 5.84873245e+00
5.85000000e-01 7.61890088e+00
5.95000000e-01 9.97731609e+00
6.05000000e-01 1.31117391e+01
6.15000000e-01 1.71718571e+01
6.25000000e-01 2.23329875e+01
6.35000000e-01 2.87977495e+01
6.45000000e-01 3.68460783e+01
6.55000000e-01 4.68537262e+01
6.65000000e-01 5.91656556e+01
6.75000000e-01 7.43026245e+01
6.85000000e-01 9.29169404e+01
6.95000000e-01 1.15778885e+02
7.05000000e-01 1.43965668e+02
7.15000000e-01 1.78860237e+02
7.25000000e-01 2.22130511e+02
7.35000000e-01 2.76089681e+02
7.45000000e-01 3.43249584e+02
7.55000000e-01 4.27155328e+02
7.65000000e-01 5.31704888e+02
7.75000000e-01 6.64637837e+02
7.85000000e-01 8.33000668e+02
7.95000000e-01 1.04764250e+03
8.05000000e-01 1.32513518e+03
8.15000000e-01 1.67692224e+03
8.25000000e-01 2.12773955e+03
8.35000000e-01 2.69976182e+03
8.45000000e-01 3.40935946e+03
8.55000000e-01 4.28971427e+03
8.65000000e-01 5.37821545e+03
8.75000000e-01 6.71468376e+03
8.85000000e-01 8.38441763e+03
8.95000000e-01 1.04605070e+04
9.05000000e-01 1.30770222e+04
9.15000000e-01 1.63472373e+04
9.25000000e-01 2.03353916e+04
9.35000000e-01 2.54771833e+04
9.45000000e-01 3.20516117e+04
9.55000000e-01 4.04896553e+04
9.65000000e-01 5.16506407e+04
9.75000000e-01 6.73335759e+04
9.85000000e-01 8.63282189e+04
