# time  R_support(t)
0.00000000e+00 1.99666667e+00
5.00000000e-03 2.00333333e+00
1.50000000e-02 2.00333333e+00
2.50000000e-02 2.00333333e+00
3.50000000e-02 2.00333333e+00
4.50000000e-02 2.00333333e+00
5.50000000e-02 2.01000000e+00
6.50000000e-02 2.01666667e+00
7.50000000e-02 2.01666667e+00
8.50000000e-02 2.01666667e+00
9.50000000e-02 2.01666667e+00
1.05000000e-01 2.01666667e+00
1.15000000e-01 2.01666667e+00
1.25000000e-01 2.01666667e+00
1.35000000e-01 2.01666667e+00
1.45000000e-01 2.01666667e+00
1.55000000e-01 2.01666667e+00
1.65000000e-01 2.01666667e+00
1.75000000e-01 2.02000000e+00
1.85000000e-01 2.03666667e+00
1.95000000e-01 2.05000000e+00
2.05000000e-01 2.06000000e+00
2.15000000e-01 2.08333333e+00
2.25000000e-01 2.10000000e+00
2.35000000e-01 2.11000000e+00
2.45000000e-01 2.12333333e+00
